-1.2137954,-1.0617877,-0.92635286,-0.8275276,-0.6710173,-0.23601595,7.7939553,-1.0344543,-0.73034793,-0.9767405,-0.71063805
-1.3645854,-0.9855162,-0.8833725,-1.3198982,-1.6883762,8.688394,0.24755828,-1.1747216,-1.335419,-1.7523522,-1.2483742
-1.1496931,-1.1888466,-0.9803939,-0.92328215,-0.7613403,-0.039686687,7.8758516,-1.0886474,-0.763049,-1.0273345,-0.7390983
-1.084283,-1.0518149,-1.0542239,-0.79733557,-0.6821405,-0.45957687,7.703209,-1.1264837,-0.94482446,-1.0410863,-0.6019725
-1.2695541,-0.9872945,-0.8501678,-1.307569,-1.589671,8.607546,-0.14713667,-1.034494,-1.3920007,-1.4749604,-1.2225763
-1.1773653,-0.98386395,-0.8756728,-1.2245511,-1.4660304,8.553576,-0.1695251,-1.0866659,-1.4778017,-1.6623397,-1.0207937
-1.4063045,-1.077339,-0.86085105,-1.3793416,-1.6091064,8.669069,0.0396125,-1.0869203,-1.4329618,-1.5480042,-1.1392539
-1.3882356,-0.99951065,-0.8432518,-1.3460019,-1.5133198,8.610846,-0.052542776,-1.0981905,-1.2898618,-1.6037339,-1.1993238
-1.3572363,-1.0775315,-0.8742445,-1.242736,-1.4541773,8.644193,-0.17121333,-1.156649,-1.3604077,-1.6747321,-1.11002
-1.314231,-1.2685782,-1.1229755,-1.2224348,-1.4981222,8.065365,0.7786147,-1.1005005,-1.2187514,-1.3522414,-1.3533859
-1.1751393,-0.7962722,-0.64306414,-1.2332966,-1.460722,8.283711,-0.6160149,-1.0037518,-1.4314219,-1.5562795,-1.0618871
-1.3087436,-0.9820663,-0.7680136,-1.2315065,-1.4128157,8.650102,0.08943098,-1.0588262,-1.36794,-1.6629827,-1.1727446
-1.6630368,-1.7815673,-1.0810877,-1.360701,-1.4131469,3.442076,6.8383837,-1.5143158,-1.1163243,-1.7634759,-1.3308059
-1.3613065,-1.0269104,-0.9097312,-1.4016839,-1.4658929,8.600215,0.110690646,-1.1554906,-1.2815381,-1.6451385,-1.3268684
-1.2239403,-1.0628805,-0.6524048,-1.3340653,-1.5819668,8.476834,-0.110941,-1.0663196,-1.2703409,-1.5188594,-1.0840077
-1.3809214,-1.2373242,-1.02773,-1.4185332,-1.7033024,8.602236,0.5116098,-1.1693753,-1.3818585,-1.6363515,-1.3677967
-0.99009687,-1.1283852,-0.67521393,-0.7138916,-0.7616664,-0.3032317,7.7699876,-1.1567465,-0.63843095,-0.9368942,-0.7306448
-1.1365033,-0.68724585,-0.63118786,-1.1486744,-1.2480218,7.773285,-0.84684956,-0.75700545,-1.3426728,-1.3271066,-1.0708236
-1.4880724,-1.0278054,-0.8469486,-1.2339292,-1.5534093,8.537812,-0.08908436,-1.028567,-1.3268467,-1.5399054,-1.1830187
-1.2310793,-1.0312588,-0.9272788,-1.0352561,-1.3760242,7.8689203,0.2669716,-1.1597445,-1.1524844,-1.5854727,-0.9625497
